,File_Name,language,version,encoding,file_size
0,../Datasets/Grobid/Grobid_RR_2024_l1_combined.xml,en,1.0,UTF-8,53543
1,../Datasets/Grobid/Grobid_RR_2024_l2_combined.xml,en,1.0,UTF-8,50900
2,../Datasets/Grobid/Grobid_RR_2024_l3_combined.xml,en,1.0,UTF-8,33026
