,File_Name,language,version,encoding,file_size,S3_link
0,/Users/riyasingh/Downloads/Datasets/Grobid/Grobid_RR_2024_l1_combined.xml,en,1.0,UTF-8,53543,https://cfadatabase.s3.amazonaws.com/PyPDF_Grobid_RR_2024_l1_combined.txt
1,/Users/riyasingh/Downloads/Datasets/Grobid/Grobid_RR_2024_l2_combined.xml,en,1.0,UTF-8,50900,https://cfadatabase.s3.amazonaws.com/PyPDF_Grobid_RR_2024_l2_combined.txt
2,/Users/riyasingh/Downloads/Datasets/Grobid/Grobid_RR_2024_l3_combined.xml,en,1.0,UTF-8,33026,https://cfadatabase.s3.amazonaws.com/PyPDF_Grobid_RR_2024_l3_combined.txt
